"modelname","modeltype","lppd"
"allmonuments","power_law",-2.24810443335537
"allmonuments","power_law",-2.20461207588814
"allmonuments","power_law",-2.06176823184847
"allmonuments","power_law",-2.52713604350691
"allmonuments","power_law",-2.90711961029465
"allmonuments","power_law",-2.48958444172646
"allmonuments","power_law",-2.4854593446412
"allmonuments","power_law",-3.03928381159017
"allmonuments","power_law",-2.94825169277632
"allmonuments","power_law",-2.78428098631163
"allmonuments","power_law",-2.10618086056648
"allmonuments","power_law",-2.65687023310944
"allmonuments","power_law",-2.71589267557532
"allmonuments","power_law",-2.04157944146125
"allmonuments","power_law",-2.77038793123708
"allmonuments","power_law",-3.18956482608121
"allmonuments","power_law",-3.25161820433149
"allmonuments","power_law",-2.91375273943128
"allmonuments","power_law",-1.93971591078278
"allmonuments","power_law",-2.46632408594738
"allmonuments","power_law",-2.34391986124106
"allmonuments","power_law",-2.2117734156038
"allmonuments","power_law",-2.70326898147935
"allmonuments","power_law",-2.96460531320409
"allmonuments","power_law",-2.73522868996255
"allmonuments","power_law",-2.9218750362703
"allmonuments","power_law",-2.02970559953578
"allmonuments","power_law",-2.73485013605481
"allmonuments","power_law",-2.94989455624022
"allmonuments","power_law",-2.5889627177781
"allmonuments","power_law",-2.25988593546961
"allmonuments","power_law",-3.10231766313594
"allmonuments","power_law",-2.20783753175663
"allmonuments","power_law",-2.08901382808248
"allmonuments","power_law",-2.35254645391495
"allmonuments","power_law",-2.39643120349179
"allmonuments","power_law",-1.87598655533845
"allmonuments","power_law",-2.20391564494946
"allmonuments","power_law",-2.53692974718562
"allmonuments","power_law",-4.3723112197443
"allmonuments","power_law",-2.14789749729243
"allmonuments","power_law",-2.74653053056962
"allmonuments","power_law",-2.49817437077689
"allmonuments","power_law",-3.82471120827413
"allmonuments","power_law",-1.82388797356589
"allmonuments","power_law",-2.05906906981532
"allmonuments","power_law",-1.83755239007928
"allmonuments","power_law",-2.59617148710002
"allmonuments","power_law",-1.548901267485
"allmonuments","power_law",-2.12761167170014
"allmonuments","power_law",-2.77021617797979
"allmonuments","power_law",-2.2449706123195
"allmonuments","power_law",-2.92101796914021
"allmonuments","power_law",-2.14296472806833
"allmonuments","power_law",-2.40410160963847
"allmonuments","power_law",-3.14271007521379
"allmonuments","power_law",-6.80696046437783
"allmonuments","power_law",-2.58334341527685
"allmonuments","power_law",-4.48538799033778
"allmonuments","power_law",-2.84823963098145
"allmonuments","power_law",-2.43345009731716
"allmonuments","power_law",-2.77099998825765
"allmonuments","power_law",-1.84530480533304
"allmonuments","power_law",-2.59278487025506
"allmonuments","power_law",-3.03778590339563
"allmonuments","power_law",-1.88437207727572
"allmonuments","power_law",-2.43269223965732
"allmonuments","power_law",-2.35431903626983
"allmonuments","power_law",-3.3734410794498
"allmonuments","power_law",-2.03595137643114
"allmonuments","power_law",-2.39395267533982
"allmonuments","power_law",-2.71634367481581
"allmonuments","power_law",-1.92413277791357
"allmonuments","power_law",-3.07021137962637
"allmonuments","power_law",-2.03519928004704
"allmonuments","power_law",-8.98726822078321
"allmonuments","power_law",-2.34309904168557
"allmonuments","power_law",-2.1834017661334
"allmonuments","power_law",-2.35147821983638
"allmonuments","power_law",-1.96376884289301
"allmonuments","power_law",-3.22842628094599
"allmonuments","power_law",-2.22573020292677
"allmonuments","power_law",-3.46425365381767
"allmonuments","power_law",-2.84241703642833
"allmonuments","power_law",-2.03444770671821
"allmonuments","power_law",-2.74460843305755
"allmonuments","power_law",-2.25037006919289
"allmonuments","power_law",-2.71538714602819
"allmonuments","power_law",-2.82499530748675
"allmonuments","power_law",-2.77903326991164
"allmonuments","power_law",-2.92316112131665
"allmonuments","power_law",-2.61599274875629
"allmonuments","power_law",-1.89203055418826
"allmonuments","power_law",-2.2043432241664
"allmonuments","power_law",-2.09803374145584
"allmonuments","power_law",-2.39218866584942
"allmonuments","power_law",-2.21634685929789
"allmonuments","power_law",-1.68568305001743
"allmonuments","power_law",-2.23893516236854
"allmonuments","power_law",-2.35569626060388
"allmonuments","power_law",-2.08069124237256
"allmonuments","power_law",-2.32364465310759
"allmonuments","power_law",-2.94134464552809
"allmonuments","power_law",-2.47408819991491
"allmonuments","power_law",-3.41857323378079
"allmonuments","power_law",-2.26674489057258
"allmonuments","power_law",-2.74129701889443
"allmonuments","power_law",-2.37629968091275
"allmonuments","power_law",-2.23511191458262
"allmonuments","power_law",-2.3522501525494
"allmonuments","power_law",-2.22137918628162
"allmonuments","power_law",-2.92644715563422
"allmonuments","power_law",-2.54730101499288
"allmonuments","power_law",-2.35087892216749
"allmonuments","power_law",-2.2238859539624
"allmonuments","power_law",-2.48105092189234
"allmonuments","power_law",-2.35406473369204
"allmonuments","power_law",-2.67497620386637
"allmonuments","power_law",-2.02311499329554
"allmonuments","power_law",-2.04659879918316
"allmonuments","power_law",-2.81021812741405
"allmonuments","power_law",-3.60797634815597
"allmonuments","power_law",-2.52988744990007
"allmonuments","power_law",-2.93520553737893
"allmonuments","power_law",-2.58583227750719
"allmonuments","power_law",-2.48508026933069
"allmonuments","power_law",-2.34744792842552
"allmonuments","power_law",-3.29549520469607
"allmonuments","power_law",-2.37218105266786
"allmonuments","power_law",-2.0156085100062
"allmonuments","power_law",-2.21993852170278
"allmonuments","power_law",-2.33449932560016
"allmonuments","power_law",-2.64004400855608
"allmonuments","power_law",-3.00622578538734
"allmonuments","power_law",-3.28518101018615
"allmonuments","power_law",-2.25757150362338
"allmonuments","power_law",-2.90861123307448
"allmonuments","power_law",-2.2022956429538
"allmonuments","power_law",-3.52156768093339
"allmonuments","power_law",-2.89974688774225
"allmonuments","power_law",-1.98505607715348
"allmonuments","power_law",-2.3657234491847
"allmonuments","power_law",-2.41483549362217
"allmonuments","power_law",-1.89184021482688
"allmonuments","power_law",-2.01740083152496
"allmonuments","power_law",-2.89511137107261
"allmonuments","power_law",-2.13188903570172
"allmonuments","power_law",-2.48526085158536
"allmonuments","power_law",-2.9682771023444
"allmonuments","power_law",-4.08334684896525
"allmonuments","power_law",-2.64011624251684
"allmonuments","power_law",-3.59513367986143
"allmonuments","power_law",-2.35604348715449
"allmonuments","power_law",-2.67153269038115
"allmonuments","power_law",-3.5699438842849
"allmonuments","power_law",-2.61424291142045
"allmonuments","power_law",-2.84305615995186
"allmonuments","power_law",-2.06259337987943
"allmonuments","power_law",-3.29872961268595
"allmonuments","power_law",-3.82643579338472
