"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Canada","2020","Total","Both Sexes","Oakville","City proper","Estimate - de jure","Final figure, complete","2021","217718","4,5"
"Canada","2020","Total","Both Sexes","Oshawa","City proper","Estimate - de jure","Final figure, complete","2021","178893","4,5"
"Canada","2020","Total","Both Sexes","Oshawa","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","423036","4,5"
"Canada","2020","Total","Both Sexes","OTTAWA","City proper","Estimate - de jure","Final figure, complete","2021","1043130","4,5"
"Canada","2020","Total","Both Sexes","Ottawa - Gatineau","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","1461494","4,5"
"Canada","2020","Total","Both Sexes","Peterborough","City proper","Estimate - de jure","Final figure, complete","2021","86736","4,5"
"Canada","2020","Total","Both Sexes","Peterborough","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","131939","4,5"
"Canada","2020","Total","Both Sexes","Québec","City proper","Estimate - de jure","Final figure, complete","2021","550326","4,5"
"Canada","2020","Total","Both Sexes","Québec","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","832328","4,5"
"Canada","2020","Total","Both Sexes","Red Deer","City proper","Estimate - de jure","Final figure, complete","2021","106736","4,5"
"Canada","2020","Total","Both Sexes","Regina","City proper","Estimate - de jure","Final figure, complete","2021","238503","4,5"
"Canada","2020","Total","Both Sexes","Regina","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","263184","4,5"
"Canada","2020","Total","Both Sexes","Richmond","City proper","Estimate - de jure","Final figure, complete","2021","216046","4,5"
"Canada","2020","Total","Both Sexes","Richmond Hill","City proper","Estimate - de jure","Final figure, complete","2021","208052","4,5"
"Canada","2020","Total","Both Sexes","Saanich","City proper","Estimate - de jure","Final figure, complete","2021","125107","4,5"
"Canada","2020","Total","Both Sexes","Saguenay","City proper","Estimate - de jure","Final figure, complete","2021","147410","4,5"
"Canada","2020","Total","Both Sexes","Saguenay","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","163354","4,5"
"Canada","2020","Total","Both Sexes","Saint John","City proper","Estimate - de jure","Final figure, complete","2021","71364","4,5"
"Canada","2020","Total","Both Sexes","Saint John","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","131772","4,5"
"Canada","2020","Total","Both Sexes","Saskatoon","City proper","Estimate - de jure","Final figure, complete","2021","280174","4,5"
"Canada","2020","Total","Both Sexes","Saskatoon","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","336614","4,5"
"Canada","2020","Total","Both Sexes","Sherbrooke","City proper","Estimate - de jure","Final figure, complete","2021","171158","4,5"
"Canada","2020","Total","Both Sexes","Sherbrooke","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","224557","4,5"
"Canada","2020","Total","Both Sexes","St. Catharines","City proper","Estimate - de jure","Final figure, complete","2021","141490","4,5"
"Canada","2020","Total","Both Sexes","St. Catharines-Niagara","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","437114","4,5"
"Canada","2020","Total","Both Sexes","St. John's","City proper","Estimate - de jure","Final figure, complete","2021","111663","4,5"
"Canada","2020","Total","Both Sexes","St. John's","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","214014","4,5"
"Canada","2020","Total","Both Sexes","Surrey","City proper","Estimate - de jure","Final figure, complete","2021","598530","4,5"
"Canada","2020","Total","Both Sexes","Terrebonne","City proper","Estimate - de jure","Final figure, complete","2021","119450","4,5"
